gene,cluster_id
CLIC5,38
CLIC6,147
CLINT1,519
CLIP1,664
CLIP4,402
CLK1,252
CLK3,504
CLK4,544
CLMN,629
CLMP,229
CLNS1A,445
CLPB,454
CLPP,219
CLPTM1L,155
CLRN3,575
CLSPN,202
CLTA,325
CLTB,467
CLU,166
CLYBL,522
CMA1,3
CMAS,509
CMBL,42
CMC1,662
CMC2,772
CMC4,-1
CMKLR1,43
CMSS1,656
CMTM3,71
CMTM4,88
CMTM7,730
CMTM8,711
CMTR1,305
CNBP,17
CNDP2,615
CNEP1R1,806
CNGA1,192
CNIH1,295
CNIH3,487
CNIH4,461
CNKSR3,397
CNN1,531
CNN2,520
CNNM2,85
CNNM3,222
CNNM4,177
CNOT10,67
CNOT11,624
CNOT3,391
CNOT4,380
CNOT8,512
CNOT9,772
CNP,70
CNPY2,722
CNPY3,625
CNPY4,492
CNR1,630
CNST,684
CNTN1,404
CNTN3,171
CNTN4,765
CNTNAP3B,400
COA1,658
COA3,456
COA4,623
COA6,720
COA7,756
COASY,175
COBLL1,236
COCH,201
COG1,32
COG5,153
COG6,341
COG8,540
COIL,-1
COL10A1,360
COL11A1,673
COL12A1,181
COL13A1,373
COL16A1,280
COL17A1,428
COL18A1,296
COL1A1,567
COL1A2,640
COL26A1,144
COL27A1,641
COL28A1,310
COL3A1,768
COL4A1,667
COL4A2,614
COL4A4,693
COL4A5,131
COL4A6,691
COL5A1,670
COL5A2,566
COL5A3,620
COL6A3,383
COL7A1,717
COL8A1,359
COL9A1,271
COL9A3,792
COLEC11,346
COLEC12,113
COLGALT1,605
COMMD1,404
COMMD10,246
COMMD4,664
COMMD5,70
COMMD6,20
COMMD7,565
COMP,621
COMT,598
COP1,545
COPA,238
COPG2,621
COPRS,709
COPS2,462
COPS3,799
COPS4,14
COPS6,447
COPS7A,329
COPS7B,341
COPS8,717
COPS9,175
COPZ1,495
COPZ2,165
COQ10B,785
COQ6,662
COQ9,421
CORO1C,586
CORO2B,117
CORO6,492
CORO7,107
COX11,140
COX14,395
COX15,796
COX19,346
COX4I1,308
COX4I2,546
COX5A,786
COX5B,467
COX6A1,-1
COX6B2,421
COX6C,-1
COX7C,309
COX8A,693
COXFA4L2,773
COXFA4L3,97
CP,104
CPA3,101
CPA5,354
CPA6,408
CPAP,791
CPD,71
CPEB2,486
CPEB3,83
CPED1,-1
CPLANE1,252
CPLX1,70
CPM,244
CPNE1,628
CPNE2,387
CPNE3,495
CPNE5,2
CPNE7,159
CPNE8,428
CPOX,322
CPQ,402
CPSF3,156
CPSF4,393
CPSF6,94
CPSF7,133
CPT1A,575
CPT2,-1
CPTP,191
CPXM1,317
CR2,111
CRABP2,95
CRACD,766
CRACR2A,530
CRADD,134
CRAMP1,321
CRAT,190
CRBN,292
CRCP,495
CREB1,665
CREB3L1,227
CREB3L2,246
CREBL2,291
CREBRF,337
CREBZF,383
CREG1,236
CREM,797
CRIP1,261
CRIPTO3,359
CRISPLD1,-1
CRK,268
CRLF3,617
CRLS1,706
CROT,712
CRTAM,517
CRTAP,220
CRTC3,569
CRY1,-1
CRYAB,229
CRYBA2,108
CRYBA4,243
CRYBB1,373
CRYBG1,431
CRYBG3,102
CRYL1,467
CRYM,409
CRYZL1,486
CSAD,201
CSE1L,666
CSF1,476
CSF1R,467
CSF2RA,127
CSF2RB,587
CSF3R,767
CSGALNACT1,271
CSGALNACT2,290
CSKMT,801
CSNK1E,686
CSNK1G2,547
CSNK1G3,35
CSNK2A1,-1
CSNK2A2,53
CSNK2B,221
CSPP1,651
CSRNP1,488
CSRNP2,593
CST1,673
CST2,710
CST4,220
CSTB,321
CSTF1,633
CSTF2,137
CSTF3,323
CTBP2,757
CTBS,403
CTH,303
CTHRC1,673
CTNNAL1,528
CTNNB1,481
CTNNBL1,157
CTPS1,566
CTPS2,156
CTRC,346
CTSB,277
CTSE,163
CTSF,45
CTSG,105
CTSH,633
CTSK,357
CTSL,762
CTSO,466
CTSS,537
CTSV,719
CTSW,505
CTTNBP2NL,417
CTU2,325
CTXND1,549
CUEDC1,747
CUEDC2,219
CUL1,1
CUL2,253
CUL4A,305
CUL4B,240
CUL7,123
CUTA,70
CWC15,411
CWC22,236
CWC25,62
CWF19L1,572
CWH43,49
CX3CL1,289
CXCL1,179
CXCL10,186
CXCL11,139
CXCL12,361
CXCL13,101
CXCL14,-1
CXCL16,699
CXCL2,299
CXCL3,179
CXCL5,298
CXCL6,58
CXCL8,674
CXCL9,241
CXCR2,525
CXCR4,15
CXCR5,491
CXCR6,779
CXXC5,729
CXorf38,130
CYB561,508
CYB561A3,335
CYB561D2,257
CYB5A,102
CYB5B,153
CYB5D1,278
CYB5D2,259
CYB5R2,538
CYB5R4,794
CYBRD1,163
CYFIP2,662
CYLD,514
CYP20A1,258
CYP26B1,16
CYP27B1,13
CYP2B6,187
CYP2C18,131
CYP2J2,128
CYP2S1,248
CYP2U1,796
CYP2W1,499
CYP39A1,13
CYP3A4,477
CYP3A43,456
CYP3A5,580
CYP4F12,2
CYP4F3,752
CYP4V2,337
CYP4X1,180
CYREN,82
CYS1,408
CYSLTR1,489
CYSTM1,523
CYTH1,29
CYTIP,25
CYYR1,337
DAAM1,395
DAAM2,308
DACH1,58
DACT3,505
DAG1,20
DAGLA,440
DALRD3,441
DAP3,222
DAPK1,191
DAPK2,198
DAPL1,271
DARS1,714
DARS2,82
DAXX,169
