cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
219,1,SUSD4,2,2,2.0
220,10,C12orf57|CERS6|KMT2A|NCOR2|PMEPA1|PODN|RNF14|SH3BP4|SNURF|YPEL1,1,1,1.0
221,8,ASAP2|CRYZL1|CSRNP3|CWF19L2|PBX1|SOCS2|SYNE3|ZNF248,1,1,1.0
222,10,GDPD5|GLDN|GPD1L|H6PD|MYO5C|P4HTM|POLI|PRELID2|UBN2|ZNF585B,2,2,2.0
223,1,AXIN2,1,1,1.0
224,6,ABHD6|CAT|CRIPT|HUNK|JAZF1|VWA5A,1,1,1.0
225,7,EFEMP1|OSBPL1A|PAK3|PDZD2|TFPI|TRIM45|ZNF420,1,1,1.0
226,1,APH1B,2,2,2.0
227,13,ABHD14A|ADISSP|ANP32B|CCZ1B|CUL4A|EFCAB14|GALK1|H1-1|KLF6|TSHZ1|UBXN10|USP48|ZNF318,1,2,1.8
228,16,AHCYL2|ANKRD10|CFAP36|CHD8|CYB5B|FNDC3A|LRRFIP1|MAN1B1|PHACTR3|SLC38A2|TRA2A|TRIOBP|YLPM1|ZNF548|ZNF629|ZRANB2,2,2,2.0
229,11,ABL1|ALG10B|BDH2|BTBD7|DENND1A|HNRNPUL1|KHDRBS3|KLK1|RAB33B|TIRAP|VMA22,2,2,2.0
230,11,HHEX|HLCS|KANK4|NPAS2|NPHP3|RHOJ|RNF182|SELENOM|SLC45A4|SULT1A1|ZNF616,2,2,2.0
232,5,C8orf76|CENPM|CIDEB|RBBP6|TMEM147,2,2,2.0
